	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
AAMP	11.6983140929121	11.686311018715	11.3699358978381	11.4514249643025	11.3633228531861	11.8214284526435	11.745464970445	11.776743881824
AANAT	2.45253710580008	3.0849524356137	3.45767517219133	3.54950071307861	2.83205955510054	2.6657743310832	1.62189271010242	3.37311197167259
AARS	11.798005791661	11.7953667482009	11.958794271151	11.9972247114315	11.886171465606	11.7825522714767	11.7606629726602	11.8001962228592
AARS2	11.4745598188809	11.5102838634895	10.8912439140879	10.8870308121647	10.9010561620229	11.1101876502412	11.0739163480525	11.1143393612644
AARSD1	10.0190881063441	9.90715770387767	9.78243218551781	9.82743262272485	9.73437951370354	9.62802516956874	9.66968770839023	9.55823657622487
AASDH	9.67557631960314	9.67965104794365	9.67343917373243	9.69701385183778	9.7651497778255	9.52711066889835	9.54281156526804	9.53241573853717
AASDHPPT	11.7855228738259	11.7337385106729	11.6524806592021	11.5772576829611	11.7344051093504	12.0074380437116	11.9250116592681	11.9175553809411
AASS	10.0393824308797	10.0652636724262	10.153098501008	9.94442192206691	10.317047808034	9.83358289535193	9.78969298302173	9.70414950688446
AATF	11.5211068826607	11.4830567049781	11.1765259989547	11.1113526210401	11.1457621009741	11.4822723992735	11.4365694634762	11.3928469667861
AATK	7.2341183548947	7.77571404282134	8.2554619525553	8.34796910925037	8.28371654376341	7.90015840919301	8.11554038953671	8.18584470483147
AATK-AS1	0.712913768754427	0	2.77094021908653	0	2.48302244389572	2.19023094704973	1.62189271010242	2.32536356564879
ABAT	7.92613680252303	7.96047492675614	9.03927428046439	8.92881563038712	8.83123379650451	8.48130918602721	8.49368295228519	8.65174079815437
ABCA1	5.66819507093834	6.11761852291136	7.47785888717783	7.27968290036083	7.35053123725422	6.1394247755021	6.57802152933727	6.5014321475394
ABCA10	4.33437786064745	4.48454735725361	4.14113518450952	3.75418253342668	3.72702729993833	4.09060230828919	5.18278580941238	4.98905079411414
ABCA11P	7.571198416068	7.58802365690418	7.65509801988209	7.5230847121991	7.73945166165152	7.7289699980651	7.58613624200584	7.53565135079947
ABCA12	2.0688620816702	2.89062270869652	1.41383017209649	2.19205028328075	3.34785692413047	2.44750824261155	3.50956001701737	3.17374168667653
ABCA13	3.31434231514173	3.54759474993206	0.873591161997045	1.4775592782179	2.0216395901114	1.87689566938431	2.04148071851021	2.66658107131703
ABCA17P	3.21854035778732	3.67383815062704	3.56301579541056	4.01529800960564	3.11288771550381	4.23411245828955	3.75132587915116	3.17374168667653
ABCA2	9.35493430586781	9.64923477999617	9.8951589473455	10.0849962873451	9.87031454278456	9.56832732485165	9.62483129702443	9.81539534681125
